Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.995317239697845,1.0962807063555724,0.662476899224985,0.03428744105082801,0.0546730595456566,0.030652951254750708
1.0,0.5,0.7972850412007761,0.8832733247128094,0.5343464081085998,0.043810639927839505,0.06758128679130568,0.03914824368414227
16.0,0.5,1.893476266746631,2.0927835947296276,1.7030304728837458,0.016124343427687947,0.01826104295072529,0.014333664437199637
-1.0,0.5,1.4887386748648526,1.5932173520909032,1.3697451923145834,0.019340269491903858,0.021517934407967957,0.01772807359981286
0.5,2.0,1.6048676110507631,1.735096941949488,1.363998758548632,0.0196331452193745,0.023758072707043033,0.01791171903666356
1.0,2.0,1.3526970516514354,1.6557998714253828,,0.024388514155267577,,0.019442251422399186
16.0,2.0,1.8455645289557303,2.087460857915171,1.6470863600327073,0.016617243530494232,0.018990181733276417,0.014376701929239098
-1.0,2.0,2.8184204801780286,2.9703603781702674,2.5434271986838324,0.00848829357928895,0.009695893041905554,0.007929571598422485
0.5,4.0,1.2521990812523327,1.3843549151173502,1.013789042164464,0.026255250491397195,0.03356507255481455,0.023349714494902373
1.0,4.0,1.8434826323804652,1.9880085054543455,1.6493688774378559,0.0172298611806624,0.019527460233963567,0.015824660803377046
16.0,4.0,1.616201997898526,1.851124272039158,,0.01941598927668312,,0.01655863588972577
-1.0,4.0,3.5804717945837106,3.8222429045542916,3.31321776465708,0.006221827575718135,0.006881443604407456,0.005715248359034453
0.5,8.0,1.73335832714052,1.8519873152669084,1.627089096050782,0.01793286933714885,0.019318393654662487,0.016587635882217972
1.0,8.0,1.9455331036366788,2.1146471274571885,1.7668723220322848,0.016214818350224685,0.018073231532247592,0.014759325594960099
16.0,8.0,3.5058963395559783,3.650618059970204,3.3607697713204185,0.007790990316809669,0.008191194734093151,0.007426251242796978
-1.0,8.0,4.035479620305396,4.484024658179688,3.677708630483621,0.005325722306374426,0.006008908407231368,0.004643318937147094
0.5,10.0,0.9447960013568907,1.1304720158302717,,0.03641611183610125,,0.029577844408274538
1.0,10.0,1.424869152321251,1.8379476759179405,1.1957779145943361,0.023010496899970565,0.027986830469191714,0.017288313679328527
16.0,10.0,3.2999259277209125,3.5150898323200215,3.0877222891731946,0.008370394568798338,0.009055731864958621,0.0077668471322833495
-1.0,10.0,3.3075361148295426,3.705060822385042,3.0639587319912875,0.006896796815039495,0.007616750529289949,0.005951318453318985
0.5,12.0,0.6908090931623794,0.8021619533906987,,0.05213600905325113,,0.04396147015946736
1.0,12.0,0.9959836942869079,1.626130155364635,,0.03428682808872351,,0.01984127188794864
16.0,12.0,3.2577027500086073,3.4316635915123728,3.068087631087277,0.008499035156079773,0.009124363202264138,0.007991096553861406
-1.0,12.0,5.232245016525963,,5.034300195267735,0.0037981190196515204,0.003993764873905069,
1.0,14.0,0.45020311984092437,0.5896467047816801,,0.08105684684738174,,0.06080695382946909
16.0,14.0,3.564937400427816,3.7352229471498757,3.2716834210371557,0.007638298210921691,0.008456040720892913,0.007227234414871867
-1.0,14.0,4.996055770401201,5.222821043041285,4.794984776039987,0.004033623169566365,0.004255244140127968,0.0038070480052476304
0.5,16.0,0.7729373981023123,0.8598557477862779,,0.04586945502048372,,0.04059246785809508
16.0,16.0,3.243232134268596,3.370439641762542,3.1071341367091527,0.008543960841307683,0.008988805187567844,0.00816336206732589
-1.0,16.0,4.344484103000311,4.597309625212131,4.148471234661547,0.0048383253618140285,0.0051378312006603345,0.004494956732062172
