Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,1.035790115,1.163204098,0.879891423,0.03274025,0.039530786,0.028611499
1,0.5,0.635451252,0.695132525,0.549431464,0.056090811,0.065598238,0.050886092
0.5,2,0.793265697,0.891847484,0.670551882,0.044526721,0.053927357,0.038921121
1,2,2.280913016,2.503527698,2.037267148,0.013549602,0.015393661,0.012194684
16,2,2.071017064,2.220276354,1.918954485,0.01451117,0.015873022,0.013369224
-1,2,2.602790602,2.754134584,2.391849267,0.009410484,0.010498492,0.008745999
0.5,4,1.215674234,1.341501375,0.942574889,0.027177789,0.036515235,0.024224841
1,4,1.958642902,2.07950945,1.808368071,0.016092494,0.017607084,0.015041195
16,4,1.793469523,1.900829101,1.67943739,0.017185445,0.018562173,0.016051068
-1,4,2.821548988,2.948923351,2.67468056,0.008476094,0.009084139,0.008004421
0.5,8,1.586043762,1.999217077,1.440948929,0.019907202,0.022279224,0.01515639
1,8,1.663548631,1.828061961,1.521158032,0.019340502,0.021384542,0.017393641
16,8,2.952716462,3.159086417,2.706792252,0.009547709,0.010581683,0.008814079
-1,8,4.112832735,,3.96881399,0.005195816,0.005442351,
0.5,10,0.734567438,0.862427144,,0.048615676,,0.040453309
1,10,1.660979335,1.829125209,,0.019374129,,0.017382255
16,10,2.95743193,3.142660326,2.753882683,0.009529703,0.010368161,0.008868645
-1,10,5.457136195,5.709572263,5.000108732,0.003595507,0.004029366,0.003389785
0.5,12,0.783464009,0.962081606,,0.045165055,,0.0356612
1,12,0.566637131,0.650645991,,0.063465053,,0.054674058
16,12,3.421780498,4.061834144,2.98048859,0.008018451,0.009442547,0.006543165
-1,12,5.105997737,5.315258789,4.828994809,0.003920886,0.004216267,0.003721034
1,14,0.666796515,0.872900012,,0.053239696,,0.039660732
16,14,3.788630915,4.018289996,3.577194212,0.007106577,0.007607287,0.006627382
-1,14,3.940123137,4.185407715,3.19102369,0.00549394,0.007225491,0.005078928
0.5,16,0.836776105,0.957464948,0.564583265,0.041881737,0.065466813,0.035860005
16,16,4.118320195,4.408680295,3.834122051,0.006436806,0.007006687,0.00593674
-1,16,2.648289945,2.970062099,2.25322952,0.009201591,0.011341178,0.007930605
