Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,4.0,0.5,0.0665621994033158,0,0,0,1
0,4.0,0.5,0.0892653948918014,1,0,0,1
0,4.0,0.5,0.0917216333564493,2,1,1,1
0,4.0,0.5,0.0940944223433835,3,1,0,0
0,4.0,0.5,0.0867556038027671,4,1,1,1
0,4.0,0.5,0.0892867513360016,5,0,0,1
0,4.0,0.5,0.0917244339946957,6,0,0,1
0,4.0,0.5,0.0940797496559064,7,0,0,1
0,4.0,0.5,0.0963623099947817,8,1,0,0
0,4.0,0.5,0.0893087744902778,9,0,0,1
0,4.0,0.5,0.0917281418451506,10,1,1,1
0,4.0,0.5,0.0940662064602339,11,1,1,1
0,4.0,0.5,0.0963324073788415,12,1,1,1
0,4.0,0.5,0.0985350113976579,13,1,0,0
0,4.0,0.5,0.0917327201954863,14,1,1,1
0,4.0,0.5,0.0940537520904743,15,1,1,1
0,4.0,0.5,0.0963037979569522,16,0,0,1
0,4.0,0.5,0.0984909839476475,17,1,1,1
0,4.0,0.5,0.1006224983871595,18,0,1,0
0,4.0,0.5,0.0940423474722336,19,0,1,0
0,4.0,0.5,0.0869242025396586,20,1,0,0
0,4.0,0.5,0.0790079374203285,21,1,0,0
0,4.0,0.5,0.0698746371736262,22,1,1,1
0,4.0,0.5,0.0731454216006057,23,0,0,1
0,4.0,0.5,0.0762158162443676,24,0,1,0
0,4.0,0.5,0.0665965306574087,25,0,0,1
0,4.0,0.5,0.070068626724857,26,0,1,0
0,4.0,0.5,0.0578332636032938,27,1,1,1
0,4.0,0.5,0.0624998073397258,28,1,1,1
0,4.0,0.5,0.0668253673456575,29,0,0,1
0,4.0,0.5,0.0702605227826119,30,0,1,0
0,4.0,0.5,0.0581927527202171,31,1,1,1
0,4.0,0.5,0.0628104313765587,32,0,0,1
0,4.0,0.5,0.0670514259806328,33,0,0,1
0,4.0,0.5,0.0704503559947119,34,1,1,1
0,4.0,0.5,0.0736251627261444,35,1,0,0
0,4.0,0.5,0.0631177459571944,36,1,0,0
0,4.0,0.5,0.0486816886872257,37,1,1,1
0,4.0,0.5,0.0540269681029412,38,0,0,1
0,4.0,0.5,0.0588981875750675,39,0,0,1
1,4.0,1,0.1082540595842786,0,1,1,1
1,4.0,1,0.1224418813503297,1,1,0,0
1,4.0,1,0.1171812467420497,2,0,0,1
1,4.0,1,0.1189819325215666,3,0,0,1
1,4.0,1,0.1207389291111901,4,1,0,0
1,4.0,1,0.1154021749349502,5,0,1,0
1,4.0,1,0.109677721525706,6,0,0,1
1,4.0,1,0.1116704261454926,7,1,0,0
1,4.0,1,0.1052011252957933,8,1,0,0
1,4.0,1,0.0979499470202975,9,1,0,0
1,4.0,1,0.0905446274911618,10,1,1,1
1,4.0,1,0.093122733234312,11,0,0,1
1,4.0,1,0.095661220510352,12,0,0,1
1,4.0,1,0.098166682612328,13,1,0,0
1,4.0,1,0.090814748416851,14,0,0,1
1,4.0,1,0.093373132807389,15,1,1,1
1,4.0,1,0.0958932243993242,16,1,0,0
1,4.0,1,0.0884988049182996,17,0,0,1
1,4.0,1,0.0910818530428796,18,1,1,1
1,4.0,1,0.0936209109443705,19,0,0,1
1,4.0,1,0.0961229604508475,20,1,1,1
1,4.0,1,0.0985942379069156,21,1,1,1
1,4.0,1,0.1010403645903077,22,1,1,1
1,4.0,1,0.1034664504827744,23,0,1,0
1,4.0,1,0.0963504713724315,24,1,1,1
1,4.0,1,0.0988051275558425,25,1,1,1
1,4.0,1,0.1012355667923136,26,0,1,0
1,4.0,1,0.0941088099917511,27,0,0,1
1,4.0,1,0.0965757988694663,28,0,1,0
1,4.0,1,0.0893425606023982,29,0,0,1
1,4.0,1,0.0918656917861209,30,0,0,1
1,4.0,1,0.0943490311634656,31,1,0,0
1,4.0,1,0.0870679463193658,32,0,0,1
1,4.0,1,0.089617379633573,33,0,1,0
1,4.0,1,0.0821377993704644,34,1,1,1
1,4.0,1,0.0847790757075768,35,1,1,1
1,4.0,1,0.0873599189516915,36,1,1,1
1,4.0,1,0.0898890968434649,37,1,1,1
1,4.0,1,0.0923742817030539,38,0,0,1
1,4.0,1,0.0948222580486579,39,1,1,1
2,4.0,16,0.086016861562512,0,0,1,0
2,4.0,16,0.0951284870058101,1,1,0,0
2,4.0,16,0.0877299784508552,2,0,0,1
2,4.0,16,0.0903360250199089,3,1,1,1
2,4.0,16,0.0928271443760647,4,1,1,1
2,4.0,16,0.095216603929322,5,1,0,0
2,4.0,16,0.0878833706254176,6,0,0,1
2,4.0,16,0.0904656714086555,7,0,0,1
2,4.0,16,0.0929349900087108,8,0,1,0
2,4.0,16,0.0852288243963293,9,0,0,1
2,4.0,16,0.0880352974330988,10,1,1,1
2,4.0,16,0.0905942354528619,11,1,1,1
2,4.0,16,0.0930420893550372,12,0,0,1
2,4.0,16,0.0953915091721503,13,0,0,1
2,4.0,16,0.0976533659009872,14,0,0,1
2,4.0,16,0.09983710104303,15,0,0,1
2,4.0,16,0.1019509928109481,16,0,0,1
2,4.0,16,0.1040023621804876,17,0,0,1
2,4.0,16,0.1059977347051306,18,0,0,1
2,4.0,16,0.1079429692553667,19,0,1,0
2,4.0,16,0.1019862061819464,20,0,0,1
2,4.0,16,0.1040222281914476,21,1,0,0
2,4.0,16,0.0977902019212009,22,1,0,0
2,4.0,16,0.0909735088619201,23,1,1,1
2,4.0,16,0.093358913398,24,1,0,0
2,4.0,16,0.0860421033714614,25,1,1,1
2,4.0,16,0.0886286731704599,26,1,1,1
2,4.0,16,0.0910978200042312,27,1,1,1
2,4.0,16,0.0934630334046282,28,0,1,0
2,4.0,16,0.0862105255169045,29,0,0,1
2,4.0,16,0.0887735145924347,30,1,1,1
2,4.0,16,0.0912210880890782,31,1,1,1
2,4.0,16,0.0935664120073685,32,1,1,1
2,4.0,16,0.0958207529773544,33,1,1,1
2,4.0,16,0.0979938581768507,34,0,0,1
2,4.0,16,0.1000942429763247,35,1,1,1
2,4.0,16,0.102129412418665,36,1,1,1
2,4.0,16,0.1041060343285612,37,0,1,0
2,4.0,16,0.0980612819217816,38,1,1,1
2,4.0,16,0.1001456691744308,39,1,1,1
3,0.5,full,0.0939999999999999,0,0,1,0
3,0.5,full,0.102275645126072,1,0,1,0
3,0.5,full,0.0955432554832055,2,0,1,0
3,0.5,full,0.0871509489434406,3,0,1,0
3,0.5,full,0.0780259912521798,4,0,1,0
3,0.5,full,0.0681307059199432,5,0,1,0
3,0.5,full,0.0568477447669511,6,0,0,1
3,0.5,full,0.0609872924364972,7,0,0,1
3,0.5,full,0.0648629846127716,8,0,0,1
3,0.5,full,0.0685290031662401,9,0,0,1
3,0.5,full,0.0720251755829468,10,0,1,0
3,0.5,full,0.0614742105936909,11,0,1,0
3,0.5,full,0.0488698143218085,12,0,0,1
3,0.5,full,0.0536077250536542,13,1,1,1
3,0.5,full,0.0579351467757472,14,1,1,1
3,0.5,full,0.0619524307285579,15,1,1,1
3,0.5,full,0.0657272723641281,16,0,1,0
3,0.5,full,0.0542071251794906,17,0,0,1
3,0.5,full,0.0584627696949018,18,1,1,1
3,0.5,full,0.0624222521574253,19,0,0,1
3,0.5,full,0.0661490937132042,20,0,0,1
3,0.5,full,0.0696889867320377,21,1,1,1
3,0.5,full,0.0730761761510202,22,1,0,0
3,0.5,full,0.0628839588297262,23,0,0,1
3,0.5,full,0.0665643121395423,24,0,0,1
3,0.5,full,0.0700645486692294,25,0,1,0
3,0.5,full,0.0594878880633138,26,0,1,0
3,0.5,full,0.0466962298499171,27,0,0,1
3,0.5,full,0.0515370219045167,28,1,1,1
3,0.5,full,0.0559288983934016,29,1,0,0
3,0.5,full,0.0420887885348443,30,1,0,0
3,0.5,full,0.0399999999999999,31,1,0,0
3,0.5,full,0.0399999999999999,32,1,1,1
3,0.5,full,0.0399999999999999,33,0,1,0
3,0.5,full,0.0399999999999999,34,1,1,1
3,0.5,full,0.0399999999999999,35,1,0,0
3,0.5,full,0.0399999999999999,36,1,1,1
3,0.5,full,0.0399999999999999,37,0,1,0
3,0.5,full,0.0399999999999999,38,1,0,0
3,0.5,full,0.0399999999999999,39,0,0,1
4,8.0,16,0.0934999999999999,0,1,1,1
4,8.0,16,0.1099914848875167,1,0,0,1
4,8.0,16,0.1119147798139991,2,1,0,0
4,8.0,16,0.1060379270835338,3,0,0,1
4,8.0,16,0.1080502885740206,4,0,0,1
4,8.0,16,0.1100081090884754,5,0,0,1
