VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0637334708412259,0.058047033653859,0.0690584388003222,NaN
0.5,1,40,40,0.0889489412877735,0.0841016329150733,0.0916298163566286,NaN
0.5,16,40,40,0.0700956829957811,NaN,0.0933989618673311,NaN
0.5,full,40,40,0.0836998831598493,NaN,0.0905252494470581,NaN
2,0.5,40,40,0.0882655126668711,0.0853665524184566,0.090751485422245,NaN
2,1,40,40,0.0950967687024509,0.0888965111520175,0.0981462089056926,NaN
2,16,40,40,0.103527609113213,0.100918258639575,0.106170123019887,NaN
2,full,40,40,0.11039200029977,0.108056355635572,0.112620989971234,NaN
4,0.5,40,40,0.0743365186041611,0.0680004844660948,0.0879696193628958,NaN
4,1,40,40,0.104243200089889,0.0985961733488654,0.110242520452074,NaN
4,16,40,40,0.114848979174818,0.111690492024854,0.117737444771901,NaN
4,full,40,40,0.117937882592797,0.114158199569765,0.12092737535749,NaN
8,0.5,40,40,0.107546848701588,0.0984729174537897,0.110707273019482,NaN
8,1,40,40,0.0996509800322584,0.0958564604638561,0.102918765437404,NaN
8,16,40,40,0.135971833173193,0.133233774815939,0.138050512028974,NaN
8,full,40,40,0.134460719807958,0.131663848829415,0.137284531765076,NaN
