VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0603049709855293,0.0564735794744767,0.0644388102996426,NaN
0.5,1,40,40,0.0791870230493612,0.0713677659711158,0.087390296609829,NaN
0.5,16,40,40,0.104785388695375,0.101154017658059,0.10885816720673,NaN
0.5,full,40,40,0.0739969715175417,0.0608478797764375,0.0791608931210804,NaN
2,0.5,40,40,0.0802326745018548,0.0753833501261742,0.0839700632898801,NaN
2,1,40,40,0.110616046162793,0.107714645151872,0.113376218968287,NaN
2,16,40,40,0.114938406655232,0.111192448953963,0.119079754974139,NaN
2,full,40,40,0.110363341508986,0.105803983115773,0.115503249746563,NaN
4,0.5,40,40,0.0952056008908042,0.0924757013366144,0.097630092642265,NaN
4,1,40,40,0.104516859068676,0.100741294349574,0.109538505519351,NaN
4,16,40,40,0.116580587984093,0.111988783168475,0.12200321790843,NaN
4,full,40,40,0.117432987835831,0.112977716708855,0.121855007857165,NaN
8,0.5,40,40,0.0976231666858474,0.0931837704296177,0.102283267817441,NaN
8,1,40,40,0.116348894971269,0.111152455590335,0.123240628732448,NaN
8,16,40,40,0.122601224757509,0.118151488687211,0.124946093124645,NaN
8,full,40,40,0.115427625110341,0.112545529353496,0.11764417489214,NaN
