Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,0.5,0.5,0.051340556,0,0,0,1
0,0.5,0.5,0.079351637,1,1,1,1
0,0.5,0.5,0.082167278,2,1,1,1
0,0.5,0.5,0.08486378,3,0,1,0
0,0.5,0.5,0.076446014,4,0,1,0
0,0.5,0.5,0.066718318,5,0,0,1
0,0.5,0.5,0.070184203,6,0,1,0
0,0.5,0.5,0.059143372,7,1,0,0
0,0.5,0.5,0.043234087,8,1,1,1
0,0.5,0.5,0.049859158,9,1,1,1
0,0.5,0.5,0.054986739,10,1,0,0
0,0.5,0.5,0.04,11,0,0,1
0,0.5,0.5,0.043727572,12,0,0,1
0,0.5,0.5,0.050251228,13,1,1,1
0,0.5,0.5,0.055250946,14,0,0,1
0,0.5,0.5,0.059568666,15,0,1,0
0,0.5,0.5,0.044212067,16,1,0,0
0,0.5,0.5,0.04,17,1,1,1
0,0.5,0.5,0.04,18,0,1,0
0,0.5,0.5,0.04,19,0,0,1
0,0.5,0.5,0.04,20,0,0,1
0,0.5,0.5,0.04,21,1,0,0
0,0.5,0.5,0.04,22,0,1,0
0,0.5,0.5,0.04,23,1,0,0
0,0.5,0.5,0.04,24,0,1,0
0,0.5,0.5,0.04,25,1,1,1
0,0.5,0.5,0.04,26,0,0,1
0,0.5,0.5,0.04,27,1,1,1
0,0.5,0.5,0.04,28,0,0,1
0,0.5,0.5,0.04,29,1,1,1
0,0.5,0.5,0.04,30,1,1,1
0,0.5,0.5,0.04,31,0,0,1
0,0.5,0.5,0.04,32,1,1,1
0,0.5,0.5,0.04,33,1,1,1
0,0.5,0.5,0.04,34,1,1,1
0,0.5,0.5,0.04,35,0,0,1
0,0.5,0.5,0.04,36,1,1,1
0,0.5,0.5,0.04,37,1,1,1
0,0.5,0.5,0.04,38,0,0,1
0,0.5,0.5,0.040151035,39,1,1,1
6,0.5,1,0.0765,0,0,1,0
6,0.5,1,0.086817265,1,1,1,1
6,0.5,1,0.089396138,2,1,1,1
6,0.5,1,0.091869635,3,1,1,1
6,0.5,1,0.094250117,4,0,1,0
6,0.5,1,0.086915587,5,0,0,1
6,0.5,1,0.08947271,6,1,0,0
6,0.5,1,0.081577331,7,1,0,0
6,0.5,1,0.071772872,8,0,1,0
6,0.5,1,0.05953475,9,0,0,1
6,0.5,1,0.063942038,10,1,1,1
6,0.5,1,0.068093327,11,0,1,0
6,0.5,1,0.055248946,12,1,1,1
6,0.5,1,0.059927639,13,0,0,1
6,0.5,1,0.064285517,14,1,1,1
6,0.5,1,0.068395712,15,1,1,1
6,0.5,1,0.07231001,16,1,0,0
6,0.5,1,0.060314923,17,1,1,1
6,0.5,1,0.064624746,18,0,0,1
6,0.5,1,0.068694844,19,1,1,1
6,0.5,1,0.072574824,20,1,1,1
6,0.5,1,0.0763016,21,0,0,1
6,0.5,1,0.079324282,22,0,1,0
