Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,1.1343247871116133,1.5281331962999194,,0.029461015991069407,,0.020795942274489485
1.0,0.5,0.9250457431122033,1.5373800294980664,,0.03720405746599167,,0.021131595093043742
16.0,0.5,2.114879303289953,2.230720785989261,1.998618229173802,0.014157507751797265,0.015131679815920937,0.013295486341370568
-1.0,0.5,1.375149516327404,1.566598026642197,,0.021409798251113273,,0.01811580479255683
0.5,2.0,1.8622293064816502,1.9942398939483268,1.4827261302142565,0.01648014761086052,0.02154509418999044,0.015201051740246467
1.0,2.0,1.9787393698117142,2.1268117110562987,1.326889057603013,0.01590829572942291,0.02491937094580988,0.014664033702970954
16.0,2.0,4.84232168845642,5.384630425008357,4.50910141991039,0.0053107399787644255,0.0057800745698635865,0.004681280185269336
-1.0,2.0,3.2956719816337974,3.442994814247825,3.156199874616221,0.006929052079883568,0.00732913872090422,0.0065464914019450595
0.5,4.0,1.98209434009605,2.0923324837871786,1.8381096352965416,0.0153110559476585,0.01673534423408085,0.014363091808854747
1.0,4.0,2.2039701954828574,2.3357983630200834,2.0165340543387256,0.01408545015010266,0.015572362383465196,0.013190143111890226
16.0,4.0,3.0321954035964347,3.3345974108892658,2.7283572277533956,0.009252319379399828,0.01048290864006216,0.008267407266777719
-1.0,4.0,4.080539457832934,4.293906051286702,3.7452511133428166,0.005249362347177802,0.0058684442990304736,0.004912608507918456
0.5,8.0,1.833957262277267,2.4756770424688623,1.662345500693281,0.016780009498432866,0.018837568076919473,0.011771011560320597
1.0,8.0,4.650459845151019,5.086920044248448,4.322875858955496,0.006034441735648583,0.006557916449134008,0.005448070224722759
16.0,8.0,4.903529418658993,5.379827029095528,4.5605678483553085,0.005232071673279466,0.005702694122514471,0.004686249505041046
-1.0,8.0,5.453993665107352,5.823235440714379,5.204849531970639,0.0035982061525380304,0.00382417857612965,0.0033038202102351906
