VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0681061080910205,0.0643652574846677,0.0715367373577305,NaN
0.5,1,40,40,0.0839741702671849,0.0756333208471186,0.090410883999461,NaN
0.5,16,40,40,0.0807805984497533,0.0771055098459292,0.083969643303835,NaN
0.5,full,40,40,0.0832872627227964,0.0746151817580864,0.0870462692646813,NaN
2,0.5,40,40,0.0804614628205134,0.0759086615246117,0.0830519004784864,NaN
2,1,40,40,0.0907862333064746,0.0868694828880583,0.0942480792353887,NaN
2,16,40,40,0.0878862305154963,NaN,0.103541023312929,NaN
2,full,40,40,0.103720495839686,0.0998402302933215,0.111634933815741,NaN
4,0.5,40,40,0.0750368674819015,NaN,0.0900663331512356,NaN
4,1,40,40,0.0993021531361227,0.0953824432103428,0.102303426145849,NaN
4,16,40,40,0.127711476639549,0.12408528287409,0.130685724527996,NaN
4,full,40,40,0.11173225962077,0.108795629517127,0.114893137862722,NaN
8,0.5,40,40,0.0916973441591801,0.0877318084178833,0.0960521536971094,NaN
8,1,40,40,0.123735527222867,0.121578630162057,0.125510128474332,NaN
8,16,40,40,0.127543515653646,0.123057123913871,0.13117690264146,NaN
8,full,40,40,0.120773636564286,0.117635984670298,0.123825375158551,NaN
