Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,1.214759371712753,1.3182216800670035,1.1094954317940542,0.027201656515396327,0.030229075798199195,0.024725813135065
1.0,0.5,1.5315913555551495,1.7784445591769544,1.2529636290946498,0.021221212306847058,0.026566602141731236,0.017940930802767378
16.0,0.5,1.3693085807764553,1.479009552965085,1.2510457344983084,0.023567201770856357,0.02618172100629743,0.02153934249813178
-1.0,0.5,1.5276229018012704,1.670879391692853,1.2337015324273763,0.018711133734287608,0.02459417359796643,0.016676321026415815
0.5,2.0,1.6206524092385406,1.7179998746143152,1.4601698180620597,0.019408609431520188,0.021935866059966634,0.018121710242746218
1.0,2.0,1.7937482197977983,1.939801392364125,1.6390398885026018,0.017768728144642712,0.01966578705487534,0.01626884746746394
16.0,2.0,1.623158415466116,2.312863924664031,,0.01931856087195973,,0.012740611873745672
-1.0,2.0,2.4349888695599895,2.8780539453026726,2.2373764894876644,0.010258454364779509,0.011445157200588547,0.008260963319598275
0.5,4.0,1.4309344076574304,2.004791545339047,,0.02246204471518354,,0.01510665293306255
1.0,4.0,2.1694508075313585,2.3154241563508267,1.989621006494694,0.014338923611532769,0.015810195222576172,0.013321475657221096
16.0,4.0,3.792141009637125,4.013377066198734,3.5346218634184607,0.007098776258085862,0.0077160070730420294,0.006637009123310586
-1.0,4.0,2.883847091224981,3.0766691422671815,2.712781599586556,0.00823945104632543,0.008919166067021029,0.007575945814509639
0.5,8.0,2.0765322473303764,2.277853672656509,1.9054803737137695,0.014492285134223298,0.016039973326612892,0.012990599864851677
1.0,8.0,3.5859005315684827,3.7103733777766066,3.4387755217787923,0.008111839213686061,0.008507432685647688,0.00780315317933066
16.0,8.0,3.779918724121004,4.050794530568329,3.46400583477955,0.007126005685139761,0.007902765917105505,0.006564329987941365
-1.0,8.0,3.4600267292080806,3.6719155129800827,3.251442187079108,0.00650466311881316,0.007051678669709773,0.006021232030265417
