VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,30,30,0.0599676421329689,0.0442372403259155,0.0638756050347848,NaN
0.5,1,30,30,0.0580053364770703,0.0435495825670924,0.0618704502889118,NaN
0.5,16,30,30,0.0945459165656122,0.0899393586066386,0.0989946338213099,NaN
0.5,full,30,30,0.0822197039038381,0.0788109863054902,0.0850410360054986,NaN
1,0.5,30,30,0.0784093304703627,0.07435361649805,0.0816657691527568,NaN
1,1,30,30,0.089364357237818,0.0863453746260433,0.0927964553981697,NaN
1,16,30,30,0.0810120647339525,NaN,0.0853053250671861,NaN
1,full,30,30,0.0963717654837619,0.0910888940781579,0.100152171992052,NaN
2,0.5,30,30,0.0800299229137183,0.0729860656146003,0.083494847983797,NaN
2,1,30,30,0.0787747596612505,NaN,0.0873074941604021,NaN
2,16,30,30,0.0934224269991287,0.0885095005744302,0.0988801931121468,NaN
2,full,30,30,0.110624629570415,0.105750415276314,0.113168951070589,NaN
4,0.5,30,30,0.0693737104800632,0.0607059636187416,0.0736180890808562,NaN
4,1,30,30,0.0919890020710138,0.0871398390529,0.095346075188642,NaN
4,16,30,30,0.0877036721359268,NaN,0.0935539584848441,NaN
4,full,30,30,0.122524153118214,0.118579969698275,0.125915481614287,NaN
8,0.5,30,30,0.0834499615324344,0.0806364820116939,0.0864347207238465,NaN
8,1,30,30,0.0943797325178844,0.0901253707904369,0.0981351290714582,NaN
8,16,30,30,0.123668886296892,0.121525812955647,0.125741840588456,NaN
8,full,30,30,0.12878320787008,0.123907031622999,0.134487512480106,NaN
