VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0615712165603321,0.0550827874682788,0.0663080964548578,NaN
0.5,1,40,40,0.0496887533006298,0.0445239909520096,0.052940218266803,NaN
0.5,16,40,40,0.0475308740925517,NaN,0.0626128343507527,NaN
0.5,full,40,40,NaN,NaN,NaN,NaN
2,0.5,40,40,0.0510593136726918,0.044689350507564,0.0556122928359253,NaN
2,1,40,40,0.101607289137394,0.0964468601653537,0.105963981479441,NaN
2,16,40,40,0.0985252125880568,0.095134348909611,0.101670838807105,NaN
2,full,40,40,0.106834504161191,0.102894147784551,0.10951774894059,NaN
4,0.5,40,40,0.0681374547888867,0.0577963102275509,0.0722787305014281,NaN
4,1,40,40,0.0946797244817083,0.0911424765244318,0.0973745310081845,NaN
4,16,40,40,0.0921746673440247,0.0893409269211548,0.0947163646159243,NaN
4,full,40,40,0.110678020615231,0.108123066935104,0.112815836665386,NaN
8,0.5,40,40,0.0795108882316065,0.0753370824379899,0.089937709068252,NaN
8,1,40,40,0.0875088234651821,0.0836845624630016,0.0916188141314522,NaN
8,16,40,40,0.115107156017116,0.110910582183037,0.118430662527385,NaN
8,full,40,40,0.129797265494564,0.12789831028397,NaN,NaN
