Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,8.0,1,0.08312862483284035,0,1,1,1
0,8.0,1,0.10164237184270963,1,0,1,0
0,8.0,1,0.0949724380326269,2,0,0,1
0,8.0,1,0.09727733789039315,3,0,0,1
0,8.0,1,0.09950390699816,4,0,1,0
0,8.0,1,0.09267053180137277,5,1,1,1
0,8.0,1,0.0950436518209718,6,1,1,1
0,8.0,1,0.09733004118629433,7,0,1,0
0,8.0,1,0.09031134895176744,8,1,1,1
0,8.0,1,0.09276110352629503,9,1,1,1
0,8.0,1,0.09511469116554558,10,0,1,0
0,8.0,1,0.08788630629770751,11,1,1,1
0,8.0,1,0.0904221877046555,12,0,0,1
0,8.0,1,0.09285120707328097,13,0,1,0
0,8.0,1,0.08538568593342653,14,1,1,1
0,8.0,1,0.08801851591418147,15,1,1,1
0,8.0,1,0.09053224444900726,16,1,1,1
0,8.0,1,0.09294083631454826,17,1,1,1
0,8.0,1,0.09525619705051366,18,0,0,1
0,8.0,1,0.09748859390729528,19,1,1,1
0,8.0,1,0.09964697247316028,20,0,0,1
0,8.0,1,0.1017391990629668,21,1,1,1
0,8.0,1,0.10377224919807967,22,0,0,1
0,8.0,1,0.10575235623204696,23,1,1,1
0,8.0,1,0.10768513003679259,24,1,1,1
0,8.0,1,0.10957565287148566,25,1,1,1
0,8.0,1,0.11142855763442906,26,0,0,1
0,8.0,1,0.11324809235167202,27,0,0,1
0,8.0,1,0.11503817379688211,28,0,1,0
0,8.0,1,0.10954063829740325,29,0,0,1
0,8.0,1,0.11138075638004707,30,1,0,0
0,8.0,1,0.10573681760443826,31,0,0,1
0,8.0,1,0.10764245889058126,32,0,1,0
0,8.0,1,0.10180312430195038,33,0,0,1
0,8.0,1,0.10379220721735377,34,1,1,1
0,8.0,1,0.10573024591403664,35,1,0,0
0,8.0,1,0.09979421579024907,36,0,0,1
0,8.0,1,0.1018252648875817,37,0,0,1
0,8.0,1,0.10380006580517692,38,1,1,1
0,8.0,1,0.10572443500190423,39,1,0,0
1,0.5,full,0.09996650629608114,0,1,1,1
1,0.5,full,0.11537587988713352,1,1,1,1
1,0.5,full,0.11719384601790184,2,0,0,1
1,0.5,full,0.11897334348961326,3,1,1,1
1,0.5,full,0.12071845026978444,4,0,0,1
1,0.5,full,0.12243294113426428,5,0,1,0
1,0.5,full,0.1171959331056026,6,1,0,0
1,0.5,full,0.11169567661921205,7,1,1,1
1,0.5,full,0.11357498384970596,8,1,1,1
1,0.5,full,0.1154077674887553,9,0,0,1
1,0.5,full,0.11719869631373689,10,0,1,0
1,0.5,full,0.11174043050018168,11,1,0,0
1,0.5,full,0.10590865057203755,12,1,0,0
1,0.5,full,0.09948167060637145,13,1,1,1
1,0.5,full,0.10178507134335207,14,0,1,0
1,0.5,full,0.09426435155637082,15,1,1,1
