observer,age,session_id,repetition,luminance,frequency,color_direction,alpha,beta,size_ge,trial,contrast,response
rafal,41,274,1,1,1,3,0,0,-0.5,1,0.073964,1
rafal,41,274,1,1,4,3,0,0,-0.5,1,0.134134,0
rafal,41,274,1,1,1,3,0,0,-0.5,2,0.0653,0
rafal,41,274,1,1,1,3,0,0,-0.5,3,0.077101,1
rafal,41,274,1,1,4,1,0,0,-0.5,1,0.08037,0
rafal,41,274,1,1,4,1,0,0,-0.5,2,0.098918,0
rafal,41,274,1,1,1,1,0,0,-0.5,1,0.046841,1
rafal,41,274,1,1,4,3,0,0,-0.5,2,0.165089,0
rafal,41,274,1,1,1,1,0,0,-0.5,2,0.041354,1
rafal,41,274,1,1,1,1,0,0,-0.5,3,0.037019,1
rafal,41,274,1,1,4,1,0,0,-0.5,3,0.115188,0
rafal,41,274,1,1,1,2,0,0,-0.5,1,0.024325,1
rafal,41,274,1,1,4,3,0,0,-0.5,3,0.192243,0
rafal,41,274,1,1,4,2,0,0,-0.5,1,0.050663,1
rafal,41,274,1,1,1,3,0,0,-0.5,4,0.071945,1
rafal,41,274,1,1,1,3,0,0,-0.5,5,0.069018,1
rafal,41,274,1,1,1,1,0,0,-0.5,4,0.034068,1
rafal,41,274,1,1,4,1,0,0,-0.5,4,0.130471,1
rafal,41,274,1,1,4,3,0,0,-0.5,4,0.217751,1
rafal,41,274,1,1,1,2,0,0,-0.5,2,0.021476,1
rafal,41,274,1,1,4,2,0,0,-0.5,2,0.044729,1
rafal,41,274,1,1,4,3,0,0,-0.5,5,0.206021,1
rafal,41,274,1,1,1,1,0,0,-0.5,5,0.031353,1
rafal,41,274,1,1,1,1,0,0,-0.5,6,0.029256,1
rafal,41,274,1,1,1,3,0,0,-0.5,6,0.06621,1
rafal,41,274,1,1,4,1,0,0,-0.5,5,0.123443,1
rafal,41,274,1,1,4,1,0,0,-0.5,6,0.120072,1
rafal,41,274,1,1,4,2,0,0,-0.5,3,0.04004,1
rafal,41,274,1,1,4,2,0,0,-0.5,4,0.036848,1
rafal,41,274,1,1,4,2,0,0,-0.5,5,0.033911,0
rafal,41,274,1,1,1,2,0,0,-0.5,3,0.019224,1
rafal,41,274,1,1,1,3,0,0,-0.5,7,0.063517,0
rafal,41,274,1,1,4,2,0,0,-0.5,6,0.037362,0
rafal,41,274,1,1,1,2,0,0,-0.5,4,0.017692,1
rafal,41,274,1,1,4,1,0,0,-0.5,7,0.116793,1
rafal,41,274,1,1,1,1,0,0,-0.5,7,0.02768,1
rafal,41,274,1,1,1,2,0,0,-0.5,5,0.016282,1
rafal,41,274,1,1,4,2,0,0,-0.5,7,0.041737,0
rafal,41,274,1,1,4,3,0,0,-0.5,6,0.200395,0
rafal,41,274,1,1,4,3,0,0,-0.5,7,0.208893,1
rafal,41,274,1,1,4,1,0,0,-0.5,8,0.113604,1
rafal,41,274,1,1,4,2,0,0,-0.5,8,0.047275,0
rafal,41,274,1,1,4,2,0,0,-0.5,9,0.055051,1
rafal,41,274,1,1,4,2,0,0,-0.5,10,0.051369,1
rafal,41,274,1,1,1,3,0,0,-0.5,8,0.067133,1
rafal,41,274,1,1,4,3,0,0,-0.5,8,0.206021,1
rafal,41,274,1,1,1,1,0,0,-0.5,8,0.026189,0
rafal,41,274,1,1,4,3,0,0,-0.5,9,0.203189,1
rafal,41,274,1,1,4,1,0,0,-0.5,9,0.108983,1
rafal,41,274,1,1,4,1,0,0,-0.5,10,0.10455,1
rafal,41,274,1,1,1,1,0,0,-0.5,9,0.028066,1
rafal,41,274,1,1,1,3,0,0,-0.5,9,0.06621,1
rafal,41,274,1,1,1,3,0,0,-0.5,10,0.0653,1
rafal,41,274,1,1,1,1,0,0,-0.5,10,0.0273,1
rafal,41,274,1,1,4,1,0,0,-0.5,11,0.100297,1
rafal,41,274,1,1,1,2,0,0,-0.5,6,0.015193,1
rafal,41,274,1,1,4,1,0,0,-0.5,12,0.097558,1
rafal,41,274,1,1,4,3,0,0,-0.5,10,0.200395,1
rafal,41,274,1,1,4,3,0,0,-0.5,11,0.200395,1
rafal,41,274,1,1,1,1,0,0,-0.5,11,0.026924,1
rafal,41,274,1,1,1,1,0,0,-0.5,12,0.026554,1
rafal,41,274,1,1,4,2,0,0,-0.5,11,0.04928,0
rafal,41,274,1,1,4,2,0,0,-0.5,12,0.052086,0
rafal,41,274,1,1,1,1,0,0,-0.5,13,0.026189,1
rafal,41,274,1,1,1,1,0,0,-0.5,14,0.025474,1
rafal,41,274,1,1,1,3,0,0,-0.5,11,0.0653,1
rafal,41,274,1,1,1,3,0,0,-0.5,12,0.064402,1
rafal,41,274,1,1,1,2,0,0,-0.5,7,0.014375,0
rafal,41,274,1,1,1,2,0,0,-0.5,8,0.01562,1
rafal,41,274,1,1,1,2,0,0,-0.5,9,0.015193,1
rafal,41,274,1,1,1,1,0,0,-0.5,15,0.024438,1
rafal,41,274,1,1,1,3,0,0,-0.5,13,0.062644,1
rafal,41,274,1,1,1,1,0,0,-0.5,16,0.023121,1
rafal,41,274,1,1,4,1,0,0,-0.5,13,0.092303,0
rafal,41,274,1,1,1,3,0,0,-0.5,14,0.058454,1
rafal,41,274,1,1,1,1,0,0,-0.5,17,0.022181,1
rafal,41,274,1,1,4,2,0,0,-0.5,13,0.058996,0
rafal,41,274,1,1,1,1,0,0,-0.5,18,0.021278,1
rafal,41,274,1,1,1,3,0,0,-0.5,15,0.054545,0
rafal,41,274,1,1,4,3,0,0,-0.5,12,0.19764,0
rafal,41,274,1,1,1,1,0,0,-0.5,19,0.020413,1
rafal,41,274,1,1,4,3,0,0,-0.5,13,0.200395,0
