Luminance,Size,VRR_f,Repeat,S_VRR
1,4,2,0,62.788435672176
1,4,2,1,62.788435672176
1,4,2,2,62.788435672176
1,4,2,3,62.788435672176
1,4,2,4,62.788435672176
1,4,2,5,62.788435672176
1,4,2,6,62.788435672176
1,4,2,7,62.788435672176
1,4,2,8,62.788435672176
1,4,2,9,62.788435672176
1,4,5,0,36.9489262391211
1,4,5,1,36.9489262391211
1,4,5,2,36.9489262391211
1,4,5,3,36.9489262391211
1,4,5,4,36.9489262391211
1,4,5,5,36.9489262391211
1,4,5,6,36.9489262391211
1,4,5,7,36.9489262391211
1,4,5,8,36.9489262391211
1,4,5,9,36.9489262391211
1,4,10,0,16.8528540823199
1,4,10,1,16.8528540823199
1,4,10,2,16.8528540823199
1,4,10,3,16.8528540823199
1,4,10,4,16.8528540823199
1,4,10,5,16.8528540823199
1,4,10,6,16.8528540823199
1,4,10,7,16.8528540823199
1,4,10,8,16.8528540823199
1,4,10,9,16.8528540823199
1,16,2,0,111.068063948034
1,16,2,1,111.068063948034
1,16,2,2,111.068063948034
1,16,2,3,111.068063948034
1,16,2,4,111.068063948034
1,16,2,5,111.068063948034
1,16,2,6,111.068063948034
1,16,2,7,111.068063948034
1,16,2,8,111.068063948034
1,16,2,9,111.068063948034
1,16,5,0,66.5819183965108
1,16,5,1,66.5819183965108
1,16,5,2,66.5819183965108
1,16,5,3,66.5819183965108
1,16,5,4,66.5819183965108
1,16,5,5,66.5819183965108
1,16,5,6,66.5819183965108
1,16,5,7,66.5819183965108
1,16,5,8,66.5819183965108
1,16,5,9,66.5819183965108
1,16,10,0,31.2485781336085
1,16,10,1,31.2485781336085
1,16,10,2,31.2485781336085
1,16,10,3,31.2485781336085
1,16,10,4,31.2485781336085
1,16,10,5,31.2485781336085
1,16,10,6,31.2485781336085
1,16,10,7,31.2485781336085
1,16,10,8,31.2485781336085
1,16,10,9,31.2485781336085
2,4,2,0,82.6267622134087
2,4,2,1,82.6267622134087
2,4,2,2,82.6267622134087
2,4,2,3,82.6267622134087
2,4,2,4,82.6267622134087
2,4,2,5,82.6267622134087
2,4,2,6,82.6267622134087
2,4,2,7,82.6267622134087
2,4,2,8,82.6267622134087
2,4,2,9,82.6267622134087
2,4,5,0,49.78702811979
2,4,5,1,49.78702811979
2,4,5,2,49.78702811979
2,4,5,3,49.78702811979
2,4,5,4,49.78702811979
2,4,5,5,49.78702811979
2,4,5,6,49.78702811979
2,4,5,7,49.78702811979
2,4,5,8,49.78702811979
2,4,5,9,49.78702811979
